 "csubject" , "cnumber" , "cname" , "cdepartment" ,
 "POLI" , "497" , "Internship" , "Political Science" ,
 "MANA" , "499" , "Special Topics in Management" , "Management" ,
 "MECH" , "7011" , "Dynamics of Hydraulic Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "522" , "Stage de formation de l’anglais au français I (F)" , "Études françaises" ,
 "CHEM" , "218" , "Introductory Analytical Chemistry II" , "Chemistry and Biochemistry" ,
 "ARTX" , "280" , "Integrated Studio in Contemporary Art Practices I" , "Studio Arts" ,
 "MECH" , "6231" , "Helicopter Flight Dynamics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "423" , "Casting, Welding, Heat Treating, and Non-Destructive Testing" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "421" , "Stage de formation : du français à l’anglais" , "Études françaises" ,
 "CHEM" , "312" , "Intermediate Analytical Chemistry" , "Chemistry and Biochemistry" ,
 "FINA" , "408" , "Building & Testing Trading Systems Using Technical Analysis" , "Finance" ,
 "AHSC" , "437" , "Internships in Leisure Sciences" , "Applied Human Sciences" ,
 "GEOG" , "301" , "The Sustainable University Campus" , "Geography, Planning and Environment" ,
 "COMP" , "426" , "Multicore Programming" , "Computer Science and Software Engineering (CSSE)" ,
 "COMM" , "SCOM" , "COMM SCOM" , "Any department" ,
 "COEN" , "311" , "Computer Organization and Software" , "Computer Science and Software Engineering (CSSE)" ,
 "ACCO" , "430" , "Advanced Mgmt Accounting" , "Accountancy" ,
 "BIOL" , "227" , "Laboratory Studies in Biodiversity" , "Biology" ,
 "BIOL" , "354" , "Behavioural Ecology" , "Biology" ,
 "URBS" , "495" , "Field Research" , "Geography, Planning and Environment" ,
 "JOUR" , "443" , "The Digital Magazine" , "Journalism" ,
 "MECH" , "452" , "Heat Transfer II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGL" , "225" , "Introductory Creative Writing: Poetry" , "English" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ETEC" , "650" , "Fundamentals of Instructional Design" , "Education" ,
 "MECH" , "7511" , "Vehicle Vibration and Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "423" , "Introduction to Analog VLSI" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "6441" , "Stress Analysis in Mechanical Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INSE" , "6240" , "Executive Communication" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "MAST" , "677" , "Time Series" , "Mathematics and Statistics" ,
 "ESTU" , "670" , "Adult Education as a Field of Study" , "Education" ,
 "JOUR" , "432" , "Documentary Video and Radio" , "Journalism" ,
 "COMP" , "6331" , "Advanced Game Development" , "Computer Science and Software Engineering (CSSE)" ,
 "INSE" , "7110" , "Value Added Service Engineering in Next Generation Networks" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "INSE" , "6411" , "Product Design Theory and Methodology" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "FTRA" , "686" , "Projet de mémoire" , "Études françaises" ,
 "MECH" , "6351" , "Modal Analysis of Mechanical Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ARTX" , "399" , "Special Topics in Contemporary Studio Arts Practice" , "Studio Arts" ,
 "MECH" , "6501" , "Advanced Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ANTH" , "695" , "Essay" , "Sociology and Anthropology" ,
 "MANA" , "549" , "Internship - Arts Admin" , "Any department" ,
 "MSCA" , "632" , "Corporate Governance and Executive Compensation" , "Finance" ,
 "CIVI" , "382" , "Water Resources Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "LOYC" , "205" , "Introduction to Sustainability Studies (also listed as BIOL 205)" , "Loyola College for Diversity and Sustainability" ,
 "AHSC" , "350" , "Leisure Education" , "Applied Human Sciences" ,
 "COEN" , "390" , "Computer Engineering Product Design Project" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "7871" , "Construction Equipment Management" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BTM" , "440" , "Business Information Systems’ Risks, Security & Audit" , "Supply Chain and Business Technology Management" ,
 "COMP" , "5481" , "Programming and Problem Solving" , "Computer Science and Software Engineering (CSSE)" ,
 "PHYS" , "295" , "Experimental Electronics I" , "Physics" ,
 "POLI" , "890" , "Thesis" , "Political Science" ,
 "THEO" , "460" , "Honours Essay" , "Theological Studies" ,
 "FTRA" , "416" , "Informatique et traduction" , "Études françaises" ,
 "ECON" , "683" , "Applied Econometrics: Microeconometrics" , "Economics" ,
 "FTRA" , "452" , "Traduction automatique (TA) et traduction assistée par ordinateur (TAO)" , "Études françaises" ,
 "HEXS" , "890" , "Research and Thesis in Health and Exercise Science" , "Health, Kinesiology and Applied Physiology" ,
 "CIVI" , "7901" , "Environmental Engineering Research Project" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BLDG" , "476" , "Thermal Analysis of Buildings" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ADED" , "345" , "Evaluating Adult Learning Projects" , "Education" ,
 "COMP" , "208" , "Computer Science Industrial Experience Reflective Learning II" , "Computer Science and Software Engineering (CSSE)" ,
 "PSYC" , "841" , "Extramural Practicum III: General" , "Psychology" ,
 "EMBA" , "645" , "Applied Field Project II" , "Management" ,
 "COMS" , "698" , "Major Research Paper" , "Communication Studies" ,
 "BLDG" , "6571" , "Project Management" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EMBA" , "632" , "Creativity & Innovation" , "Management" ,
 "IADI" , "401" , "Undergraduate Aerospace Industry Project II" , "Concordia Institute for Aerospace Design and Innovation (CIADI)" ,
 "ENGR" , "8901" , "Master of Applied Science Research and Thesis" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "7101" , "Theory and Design of Orthotropic Bridges" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "APLI" , "644" , "Technology in Language Teaching" , "Education" ,
 "ACTU" , "493" , "Honours Project in Actuarial Mathematics" , "Mathematics and Statistics" ,
 "MECH" , "6601" , "Testing and Evaluation of Polymer Composite Materials and Structures" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6141" , "Heat Exchanger Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMS" , "493" , "Communication Media: Advanced Topics" , "Communication Studies" ,
 "INSE" , "6150" , "Security Evaluation Methodologies" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ADED" , "230" , "Roles and Competencies of Adult Educators" , "Education" ,
 "ECON" , "878" , "Workshop in Labour Economics" , "Economics" ,
 "INDU" , "6131" , "Graph Theory with System Applications" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PHYS" , "394" , "Experimental Atomic Physics" , "Physics" ,
 "PSYC" , "851" , "Teaching of Laboratory Techniques" , "Psychology" ,
 "THEO" , "691" , "Research Paper" , "Theological Studies" ,
 "COMS" , "324" , "Communication Analysis of Environment" , "Communication Studies" ,
 "BIOL" , "459" , "Aquatic Ecology" , "Biology" ,
 "TESL" , "467" , "Internship: Secondary I" , "Education" ,
 "JOUR" , "537" , "Visual Journalism Portfolio" , "Journalism" ,
 "CATA" , "441" , "Concepts in Manual Therapy" , "Health, Kinesiology and Applied Physiology" ,
 "CHEM" , "324" , "Organic Chemistry III: Organic Reactions" , "Chemistry and Biochemistry" ,
 "TESL" , "341" , "Language acquisition" , "Education" ,
 "FINA" , "411" , "Portfolio Management" , "Finance" ,
 "MBA" , "643" , "Managerial Analytics" , "Management" ,
 "MANA" , "447" , "Leadership & Motivation" , "Management" ,
 "JOUR" , "206" , "Introduction to Reporting" , "Journalism" ,
 "MARK" , "301" , "Marketing Management II" , "Marketing" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6511" , "Mechanical Forming of Metals" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "URBS" , "484" , "Directed Studies / Practicum in Urban Planning II" , "Geography, Planning and Environment" ,
 "MECH" , "6551" , "Fracture" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PHYS" , "291" , "Experimental Mechanics I" , "Physics" ,
 "ELEC" , "435" , "Electromechanical Energy Conversion Systems" , "Electrical and Computer Engineering (ECE)" ,
 "GIIM" , "637" , "Strategic Management" , "Management" ,
 "COEN" , "7741" , "Advanced Computer Architecture" , "Electrical and Computer Engineering (ECE)" ,
 "COMM" , "HRMA" , "COMM HRMA" , "Any department" ,
 "MATH" , "387" , "Mathematics Lab III" , "Mathematics and Statistics" ,
 "COMP" , "474" , "Intelligent Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "CATA" , "437" , "Assessment of the Hip, Spine and Pelvis" , "Health, Kinesiology and Applied Physiology" ,
 "INSE" , "6100" , "Advanced Java Platforms" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ELEC" , "6141" , "Wireless Communications" , "Electrical and Computer Engineering (ECE)" ,
 "URBS" , "300" , "Neighbourhood and Community Planning" , "Geography, Planning and Environment" ,
 "EXCI" , "455" , "Physical Activity, Health and Aging" , "Health, Kinesiology and Applied Physiology" ,
 "AHSC" , "675" , "Introduction to Open Systems Theory" , "Applied Human Sciences" ,
 "CIVI" , "390" , "Civil Engineering Design Project" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ENGR" , "201" , "Professional Practice and Responsibility" , "Centre for Engineering in Society" ,
 "GEOG" , "491" , "Honours Essay" , "Geography, Planning and Environment" ,
 "SOCI" , "415" , "Field Research" , "Sociology and Anthropology" ,
 "PSYC" , "709" , "APC Practicum II: Adult" , "Psychology" ,
 "LBCL" , "496" , "Liberal Arts College Honours Essay Seminar" , "Liberal Arts College" ,
 "INDU" , "6411" , "Human Factors Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6771" , "Driverless Ground Vehicles" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MARK" , "485" , "Business to Business Marketing" , "Marketing" ,
 "PSYC" , "708" , "APC Practicum II: General" , "Psychology" ,
 "BLDG" , "7841" , "Information Technology Applications in Construction" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "TESL" , "488" , "Internship Seminar" , "Education" ,
 "ELEC" , "6261" , "Optical Devices for High-Speed Communications" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "424" , "Stage de formation : de l’anglais au français II" , "Études françaises" ,
 "ENCS" , "485" , "Rwanda Field School in Engineering and Sustainable Development" , "Centre for Engineering in Society (CES)" ,
 "MECH" , "473" , "Control System Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "432" , "Seminar in Therapeutic Recreation" , "Applied Human Sciences" ,
 "INDU" , "6311" , "Discrete System Simulation" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MBA" , "657" , "International Case Competition – Executive Assistant" , "Management" ,
 "BLDG" , "6661" , "Hygrothermal Performance of the Building Envelope" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "6871" , "Fiber-Optic Communication Systems and Networks" , "Electrical and Computer Engineering (ECE)" ,
 "COEN" , "6711" , "Microprocessors and Their Applications" , "Electrical and Computer Engineering (ECE)" ,
 "INSE" , "6610" , "Cybercrime Investigations" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "PSYC" , "827" , "APC Practicum IV: Adult" , "Psychology" ,
 "CIVI" , "6061" , "Structural Health Monitoring" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FTRA" , "519" , "Stage de formation du français à l’anglais II (A)" , "Études françaises" ,
 "AERO" , "480" , "Flight Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CHEM" , "477" , "Advanced Laboratory in Biochemistry" , "Chemistry and Biochemistry" ,
 "CATA" , "475" , "Athletic Therapy Clinical Internship I" , "Health, Kinesiology and Applied Physiology" ,
 "EXCI" , "483" , "Clinical Exercise Physiology Internship II" , "Health, Kinesiology and Applied Physiology" ,
 "CIVI" , "6441" , "Traffic Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EDUC" , "361" , "Inclusive Practices in Early Childhood Settings" , "Education" ,
 "CIVI" , "465" , "Water Pollution and Control" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "INSE" , "6180" , "Security and Privacy Implications of Data Mining" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "AHSC" , "470" , "Basic Human Relations Laboratory" , "Applied Human Sciences" ,
 "ADIP" , "593" , "Practicum I" , "Education" ,
 "INSE" , "6230" , "Total Quality Project Management" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "AHSC" , "443" , "Community Development I" , "Applied Human Sciences" ,
 "EXCI" , "258" , "Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise" , "Health, Kinesiology and Applied Physiology" ,
 "ENGL" , "415" , "Literary Production: Curating and Archiving the Literary Event" , "English" ,
 "MECH" , "463" , "Fluid Power Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INSE" , "6650" , "Trusted Computing" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "BIOL" , "670" , "Scientific Communication" , "Biology" ,
 "ETEC" , "796" , "Thesis" , "Education" ,
 "PSYC" , "711" , "Extramural Practicum I: General
" , "Psychology" ,
 "AHSC" , "533" , "Internship I in Youth Work" , "Applied Human Sciences" ,
 "TESL" , "488" , "Internship Seminar" , "Teaching English as a Second Language" ,
 "COMP" , "376" , "Introduction to Game Development" , "Computer Science and Software Engineering (CSSE)" ,
 "COMM" , "IBUS" , "COMM IBUS" , "Any department" ,
 "FRAA" , "532" , "Écriture pour le Web" , "Études françaises" ,
 "HENV" , "695" , "Thesis" , "Geography, Planning and Environment" ,
 "BIOL" , "515" , "Biotechnology and Genomics Laboratory" , "Biology" ,
 "COMS" , "376" , "Communication Media: Sound II" , "Communication Studies" ,
 "COMP" , "5461" , "Operating Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "INSE" , "6530" , "3D Graphics and Computer Animation for Game Design" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ELEC" , "372" , "Fundamentals of Control Systems" , "Electrical and Computer Engineering (ECE)" ,
 "SCPA" , "510" , "Projet en DÉC. Partie I" , "School of Community and Public Affairs" ,
 "JOUR" , "321" , "Visual Journalism" , "Journalism" ,
 "FLIT" , "454" , "Histoire du livre et de l’édition" , "Études françaises" ,
 "FLIT" , "498" , "Étude d’un sujet particulier" , "Études françaises" ,
 "MATH" , "ACT" , "Actuarial Mathematics Co-op" , "Mathematics and Statistics" ,
 "FTRA" , "631" , "Initiation à la traduction générale Co-listé : FTRA 531" , "Études françaises" ,
 "TESL" , "466" , "Internship: Primary I" , "Teaching English as a Second Language" ,
 "INDU" , "6321" , "Introduction to Six Sigma" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MARK" , "486" , "Product Innovation and Stratgey" , "Marketing" ,
 "MECH" , "6051" , "Process Dynamics and Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FRAA" , "598" , "Étude avancée d’un sujet particulier" , "Études françaises" ,
 "FTRA" , "632" , "Initiation à la traduction générale Co-listé : FTRA 532" , "Études françaises" ,
 "FLIT" , "693" , "Mémoire incluant une réalisation médiatique" , "Études françaises" ,
 "INSE" , "7100" , "Design and Analysis of Security Protocols" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "CIVI" , "453" , "Design of Reinforced Concrete Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "463" , "Telecommunication Network" , "Electrical and Computer Engineering (ECE)" ,
 "AERO" , "490" , "Capstone Aerospace Engineering Design Project" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6331" , "Hydraulic Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "PSYC" , "706" , "Assessment Practicum I" , "Psychology" ,
 "CHEM" , "692" , "Experimental Protein Chemistry" , "Chemistry and Biochemistry" ,
 "FTRA" , "556" , "Programmation en localisation" , "Études françaises" ,
 "FTRA" , "633" , "Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533" , "Études françaises" ,
 "COMP" , "5361" , "Discrete Structures and Formal Languages" , "Computer Science and Software Engineering (CSSE)" ,
 "MECH" , "6621" , "Microprocessors and Applications" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "438" , "Industrial Electrical Systems" , "Electrical and Computer Engineering (ECE)" ,
 "COMS" , "684" , "Media Research Laboratory" , "Communication Studies" ,
 "ELEC" , "6281" , "Principles of Solid State Nanodevices" , "Electrical and Computer Engineering (ECE)" ,
 "PSYC" , "387" , "Directed Research in Psychology" , "Psychology" ,
 "MECH" , "321" , "Properties and Failure of Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "EMBA" , "621" , "Information Technology & Analytics" , "Management" ,
 "PSYC" , "842" , "Extramural Practicum III: Adult" , "Psychology" ,
 "MECH" , "412" , "Computer-Aided Mechanical Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ECON" , "MA" , "Economics MA Co-op - International" , "Economics" ,
 "LOYC" , "398B" , "Orientation to International Community Engagement" , "Loyola College for Diversity and Sustainability" ,
 "COMS" , "586" , "Directed Study in Communication Studies II" , "Communication Studies" ,
 "AHSC" , "436" , "Internship in Youth and Family Work" , "Applied Human Sciences" ,
 "SOEN" , "491" , "Software Engineering Project" , "Computer Science and Software Engineering (CSSE)" ,
 "FRAN" , "211" , "French Language: Elementary" , "Any department" ,
 "CIVI" , "6691" , "Greenhouse Gases and Control" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "436" , "Protection of Power Systems" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "520" , "Stage de formation (F)" , "Études françaises" ,
 "AERO" , "201" , "Introduction to Flight and Aerospace Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "GEOL" , "331" , "Evolution of the Earth" , "Geography, Planning and Environment" ,
 "AHSC" , "527" , "Advanced Youth Work Intervention: Case Management and Supervision" , "Applied Human Sciences" ,
 "COEN" , "6611" , "Real-time Systems" , "Electrical and Computer Engineering (ECE)" ,
 "CHEM" , "375" , "Biochemistry II" , "Chemistry and Biochemistry" ,
 "JOUR" , "507" , "Basics of Digital Imaging" , "Journalism" ,
 "MARK" , "462" , "Environment of World Business" , "Marketing" ,
 "POLI" , "487" , "Israel and the Middle East" , "Political Science" ,
 "COEN" , "6331" , "Neural Networks" , "Electrical and Computer Engineering (ECE)" ,
 "CHEM" , "655" , "Master’s Research and Thesis" , "Chemistry and Biochemistry" ,
 "STAT" , "461" , "Statistical Simulation" , "Mathematics and Statistics" ,
 "APLI" , "691" , "Thesis" , "Education" ,
 "HIST" , "498" , "Critical Museology (also listed as HIST 670)" , "History" ,
 "EDUC" , "302" , "Working in Childhood Settings: Leadership and Organizational Issues" , "Education" ,
 "PHYS" , "790" , "Master’s Research and Thesis" , "Physics" ,
 "COMS" , "896" , "Doctoral Thesis Research" , "Communication Studies" ,
 "MECH" , "6241" , "Operational Performance of Aircraft" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "610" , "Group Process Intervention" , "Applied Human Sciences" ,
 "JOUR" , "303" , "Feature Writing" , "Journalism" ,
 "ANTH" , "692" , "Thesis" , "Sociology and Anthropology" ,
 "COMP" , "479" , "Information Retrieval and Web Search" , "Computer Science and Software Engineering (CSSE)" ,
 "COMP" , "371" , "Computer Graphics" , "Computer Science and Software Engineering (CSSE)" ,
 "COMP" , "6421" , "Compiler Design" , "Computer Science and Software Engineering (CSSE)" ,
 "ETEC" , "671" , "Administering Educational Technology Groups" , "Education" ,
 "BLDG" , "6111" , "Computer-Aided Building Operation" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BLDG" , "6701" , "Building Environment" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MANA" , "300" , "Entrepreneurship: Launching Your Business" , "Management" ,
 "SOEN" , "422" , "Embedded Systems and Software" , "Computer Science and Software Engineering (CSSE)" ,
 "COMP" , "628" , "Parallel Programming" , "Computer Science and Software Engineering (CSSE)" ,
 "EDUC" , "460" , "Child Studies Field Experience: Child and Youth" , "Education" ,
 "CHEM" , "235" , "Physical Chemistry II: Kinetics of Chemical Reactions" , "Chemistry and Biochemistry" ,
 "MECH" , "6321" , "Optimum Design of Mechanical Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CHEM" , "614" , "Modern Aspects of Practical Mass Spectrometry" , "Chemistry and Biochemistry" ,
 "COMP" , "6461" , "Computer Networks and Protocols" , "Computer Science and Software Engineering (CSSE)" ,
 "PHYS" , "390" , "Experimental Digital Electronics" , "Physics" ,
 "MECH" , "6171" , "Turbomachinery and Propulsion" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "322" , "Fundamentals of Child‑ and Youth‑Care Work" , "Applied Human Sciences" ,
 "PSYC" , "311" , "Research Methods and Designs II" , "Psychology" ,
 "BLDG" , "6761" , "Intelligent Buildings" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SPAN" , "683" , "Research Paper II" , "Classics, Modern Languages and Linguistics" ,
 "HIST" , "380" , "History and Digital Media" , "History" ,
 "MPER" , "421" , "Chamber Ensemble III" , "Music" ,
 "MARK" , "451" , "Marketing of Services" , "Marketing" ,
 "MECH" , "368" , "Electronics for Mechanical Engineers" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "EXCI" , "323" , "Research Experience in Exercise Science" , "Health, Kinesiology and Applied Physiology" ,
 "MARK" , "454" , "Personal Selling" , "Marketing" ,
 "MBA" , "656" , "International Case Competition – Executive Assistant, Special" , "Management" ,
 "PHYS" , "226" , "Introductory Experimental Waves and Modern Physics" , "Physics" ,
 "GEOL" , "210" , "Introduction to the Earth" , "Geography, Planning and Environment" ,
 "BLDG" , "390" , "Building Engineering Design Project" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BIOL" , "452" , "Population Conservation Genetics" , "Biology" ,
 "BIOL" , "340" , "Plant Biology" , "Biology" ,
 "ELEC" , "311" , "Electronics I" , "Electrical and Computer Engineering (ECE)" ,
 "ENGR" , "392" , "Impact of Technology on Society" , "Centre for Engineering in Society" ,
 "COMP" , "345" , "Advanced Program Design with C++" , "Computer Science and Software Engineering (CSSE)" ,
 "TESL" , "424" , "Methodology II" , "Education" ,
 "RELI" , "410" , "Honours Thesis" , "Religions and Cultures" ,
 "ADED" , "497" , "Integrative Internship II" , "Education" ,
 "EDUC" , "362" , "Inclusive Proactices for School-Aged Populations" , "Education" ,
 "GEOG" , "466" , "Geomedia and the Geoweb" , "Geography, Planning and Environment" ,
 "INSE" , "6280" , "Quality Assurance for System Engineering" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "EDUC" , "463" , "Child Studies Seminar: Inclusive Practices in Childhood Settings" , "Education" ,
 "MECH" , "490A" , "Capstone Mechanical Engineering Design Project (also listed as MECH 490B, MECH490C)" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6761" , "Vehicular Internal Combustion Engines" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6581" , "Mechanical Behaviour of Polymer Composite Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGL" , "895" , "Thesis Research" , "English" ,
 "EDUC" , "462" , "Child Studies Field Experience: Inclusive Practices in Childhood Settings" , "Education" ,
 "EXCI" , "492" , "Independent Study in Exercise Science" , "Health, Kinesiology and Applied Physiology" ,
 "FTRA" , "598" , "Étude avancée d’un sujet particulier" , "Études françaises" ,
 "FTRA" , "521" , "Stage de formation (A)" , "Études françaises" ,
 "COMS" , "670" , "Directed Study" , "Communication Studies" ,
 "COMS" , "385" , "Communication Media: Video II" , "Communication Studies" ,
 "ELEC" , "6391" , "Microwave Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "6641" , "Unit Operations in Environmental Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6651" , "Structural Composite" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "7451" , "Power System Compensation" , "Electrical and Computer Engineering (ECE)" ,
 "CHST" , "698" , "Thesis" , "Education" ,
 "ELEC" , "6621" , "Digital Waveform Compression" , "Electrical and Computer Engineering (ECE)" ,
 "SOEN" , "423" , "Distributed Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "PSYC" , "823" , "APC Practicum III: General" , "Psychology" ,
 "BIOL" , "498" , "Internship in Tropical Biology" , "Biology" ,
 "BLDG" , "7511" , "Integrated Building Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "321" , "Introduction to Semiconductor Materials and Devices" , "Electrical and Computer Engineering (ECE)" ,
 "HIST" , "889" , "Doctoral Seminar" , "History" ,
 "AHSC" , "444" , "The Older Adult and Leisure" , "Applied Human Sciences" ,
 "ACCO" , "435" , "Strategic Accounting Case Analysis" , "Accountancy" ,
 "TESL" , "331" , "Grammar for Teachers" , "Education" ,
 "EDUC" , "385" , "Teaching a Second Language in Early Childhood and Elementary School" , "Education" ,
 "TESL" , "488" , "Internship Seminar" , "Education" ,
 "FTRA" , "499" , "Étude avancée d’un sujet particulier" , "Études françaises" ,
 "ACCO" , "355" , "Analysis of Financial Statements" , "Accountancy" ,
 "COMP" , "6761" , "Advanced Computer Graphics" , "Computer Science and Software Engineering (CSSE)" ,
 "MPER" , "332" , "Choir II" , "Music" ,
 "FTRA" , "613" , "Advanced translation in social sciences and the humanities Co-listé : FTRA 542 ou FTRA 543" , "Études françaises" ,
 "HENV" , "802" , "Experiential Learning" , "Geography, Planning and Environment" ,
 "ELEC" , "6151" , "Information Theory and Source Coding" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6661" , "Medical Image Processing" , "Electrical and Computer Engineering (ECE)" ,
 "JOUR" , "528" , "The Digital Magazine" , "Journalism" ,
 "ELEC" , "273" , "Basic Circuit Analysis" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6471" , "Hybrid Electric Vehicle Power System Design and Control" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "6691" , "Optical Microsystems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "655" , "Gestion de projets Co-listé : FTRA 555" , "Études françaises" ,
 "INDU" , "410" , "Safety Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "421" , "Mechanical Shaping of Metals and Plastics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "6361" , "Acoustics" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "6001" , "Advanced Reinforced Concrete" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FRAA" , "409" , "Cours libre de traduction" , "Études françaises" ,
 "PHYS" , "393" , "Experimental Thermodynamics" , "Physics" ,
 "FTRA" , "634" , "Traduction littéraire de l’anglais au français Co-listé : FTRA 504" , "Études françaises" ,
 "PHYS" , "292" , "Experimental Mechanics II" , "Physics" ,
 "MECH" , "6491" , "Engineering Metrology and Measurement Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "JOUR" , "445" , "Advanced Photojournalism" , "Journalism" ,
 "CHEM" , "205" , "General Chemistry I" , "Chemistry and Biochemistry" ,
 "CIVI" , "432" , "Soil Mechanics" , "Building, Civil and Environmental Engineering (BCEE)" ,
