 "csubject" , "cnumber" , "cname" , "cdescription" ,
 "ELEC" , "490" , "Capstone Electrical Engineering Design Project" , "capstone, group project" ,
 "FTRA" , "561" , "Stage en gestion de projet II" , "stage" ,
 "CIVI" , "6541" , "Reinforced Earth" , "A project is required" ,
 "POLI" , "497" , "Internship" , "One-term apprenticeship in some aspect of public affairs and policy analysis" ,
 "MANA" , "499" , "Special Topics in Management" , "Students are encouraged to work independently on research topics of interest to them" ,
 "MECH" , "7011" , "Dynamics of Hydraulic Control Systems" , "Projects on selected topics are required" ,
 "FTRA" , "522" , "Stage de formation de l’anglais au français I (F)" , "stage de formation" ,
 "CHEM" , "218" , "Introductory Analytical Chemistry II" , "Laboratory" ,
 "ARTX" , "280" , "Integrated Studio in Contemporary Art Practices I" , "Studio course" ,
 "MECH" , "6231" , "Helicopter Flight Dynamics" , "Case studies and projects on selected topics are required" ,
 "MECH" , "423" , "Casting, Welding, Heat Treating, and Non-Destructive Testing" , "Laboratory: 2 hours per week, alternate weeks" ,
 "FTRA" , "421" , "Stage de formation : du français à l’anglais" , "stage; activité professionnelle" ,
 "CHEM" , "312" , "Intermediate Analytical Chemistry" , "Laboratory" ,
 "FINA" , "408" , "Building & Testing Trading Systems Using Technical Analysis" , "Group project to build & test a trading system using simulation & investment software" ,
 "AHSC" , "437" , "Internships in Leisure Sciences" , "Opportunity to design, implement, and evaluate programs; to facilitate groups in a variety of settings; and to establish working relationships with field personnel" ,
 "GEOG" , "301" , "The Sustainable University Campus" , "Campus as the laboratory,  workshops, project work" ,
 "COMP" , "426" , "Multicore Programming" , "Laboratory: 24 hours total, group project" ,
 "COMM" , "SCOM" , "COMM SCOM" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "COEN" , "311" , "Computer Organization and Software" , "Laboratory: 15 hours total" ,
 "ACCO" , "430" , "Advanced Mgmt Accounting" , "Course" ,
 "BIOL" , "227" , "Laboratory Studies in Biodiversity" , "Laboratory" ,
 "BIOL" , "354" , "Behavioural Ecology" , "Tutorials" ,
 "URBS" , "495" , "Field Research" , "On-site research" ,
 "JOUR" , "443" , "The Digital Magazine" , "Capstone course" ,
 "MECH" , "452" , "Heat Transfer II" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ENGL" , "225" , "Introductory Creative Writing: Poetry" , "Writing workshop" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Associated reflective learning course to industrial experience work term I" ,
 "ETEC" , "650" , "Fundamentals of Instructional Design" , "Real-world project" ,
 "MECH" , "7511" , "Vehicle Vibration and Control" , "Projects on selected applications are required" ,
 "ELEC" , "423" , "Introduction to Analog VLSI" , "Design, Laboratory: 30 hours total" ,
 "MECH" , "6441" , "Stress Analysis in Mechanical Design" , "Case studies, and project from selected applications are required" ,
 "INSE" , "6240" , "Executive Communication" , "A project is required" ,
 "MAST" , "677" , "Time Series" , "Computer analysis of time series using computer packages" ,
 "ESTU" , "670" , "Adult Education as a Field of Study" , "A Canadian and Quebec perspective" ,
 "JOUR" , "432" , "Documentary Video and Radio" , "Workshop course" ,
 "COMP" , "6331" , "Advanced Game Development" , "Laboratory: 24 hours total, project" ,
 "INSE" , "7110" , "Value Added Service Engineering in Next Generation Networks" , "A project is required" ,
 "INSE" , "6411" , "Product Design Theory and Methodology" , "A project is required" ,
 "FTRA" , "686" , "Projet de mémoire" , "projet de mémoire" ,
 "MECH" , "6351" , "Modal Analysis of Mechanical Systems" , "Projects on selected applications are required" ,
 "ARTX" , "399" , "Special Topics in Contemporary Studio Arts Practice" , "Studio course" ,
 "MECH" , "6501" , "Advanced Materials" , "A project on selected topics of current interest is required" ,
 "ANTH" , "695" , "Essay" , "Essay" ,
 "MANA" , "549" , "Internship - Arts Admin" , "Internship" ,
 "MSCA" , "632" , "Corporate Governance and Executive Compensation" , "Research paper and presentation" ,
 "CIVI" , "382" , "Water Resources Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "LOYC" , "205" , "Introduction to Sustainability Studies (also listed as BIOL 205)" , "Optional hands-on applied project. " ,
 "AHSC" , "350" , "Leisure Education" , "The development and implementation of leisure education with children in the BASE after school program" ,
 "COEN" , "390" , "Computer Engineering Product Design Project" , "Team project, develop system/device, equivalent laboratory time: 6 hours per week" ,
 "BLDG" , "7871" , "Construction Equipment Management" , "A project is required" ,
 "BTM" , "440" , "Business Information Systems’ Risks, Security & Audit" , "Applied learning through intensive case, hands-on experience-on IT auditing & security management project" ,
 "COMP" , "5481" , "Programming and Problem Solving" , "Laboratory: 36 hours total" ,
 "PHYS" , "295" , "Experimental Electronics I" , "Experiments, practical laboratory course" ,
 "POLI" , "890" , "Thesis" , "Thesis" ,
 "THEO" , "460" , "Honours Essay" , "40 pages in length" ,
 "FTRA" , "416" , "Informatique et traduction" , "exercices, initiation aux outils informatisés" ,
 "ECON" , "683" , "Applied Econometrics: Microeconometrics" , "practical aspects of analysis" ,
 "FTRA" , "452" , "Traduction automatique (TA) et traduction assistée par ordinateur (TAO)" , "exercises, appliquent des outils" ,
 "HEXS" , "890" , "Research and Thesis in Health and Exercise Science" , "Research, thesis" ,
 "CIVI" , "7901" , "Environmental Engineering Research Project" , "Research project, supervision of full-time faculty member" ,
 "BLDG" , "476" , "Thermal Analysis of Buildings" , "Laboratory: 1 hour per week" ,
 "ADED" , "345" , "Evaluating Adult Learning Projects" , "Conduct an evaluation of an adult learning project in the area of subject matter speciality" ,
 "COMP" , "208" , "Computer Science Industrial Experience Reflective Learning II" , "Associated reflective learning course to industrial experience work term II" ,
 "PSYC" , "841" , "Extramural Practicum III: General" , "Practicum" ,
 "EMBA" , "645" , "Applied Field Project II" , "Field project" ,
 "COMS" , "698" , "Major Research Paper" , "Research" ,
 "BLDG" , "6571" , "Project Management" , "A project is required" ,
 "EMBA" , "632" , "Creativity & Innovation" , "Case studies & experiential exercises" ,
 "IADI" , "401" , "Undergraduate Aerospace Industry Project II" , "Project, industry training and tours" ,
 "ENGR" , "8901" , "Master of Applied Science Research and Thesis" , "Research, thesis" ,
 "CIVI" , "7101" , "Theory and Design of Orthotropic Bridges" , "A project is required" ,
 "APLI" , "644" , "Technology in Language Teaching" , "Design, create and assess pedagogical materials involving reading and writing (including lesson plans, activities, textbooks, virtual learning environments, websited, games, etc.); final projects: develop a full-fledged virtual learning environment and a research project to implement computer technology in language teaching and/or learning" ,
 "ACTU" , "493" , "Honours Project in Actuarial Mathematics" , "Honours Project" ,
 "MECH" , "6601" , "Testing and Evaluation of Polymer Composite Materials and Structures" , "A project on selected topics of current interest is required" ,
 "MECH" , "6141" , "Heat Exchanger Design" , "A project on selected topics is required" ,
 "COMS" , "493" , "Communication Media: Advanced Topics" , "Practicum course" ,
 "INSE" , "6150" , "Security Evaluation Methodologies" , "A project is required" ,
 "ADED" , "230" , "Roles and Competencies of Adult Educators" , "According to the participants’ needs & interests, an opportunity is given to explore competencies related to the particular roles" ,
 "ECON" , "878" , "Workshop in Labour Economics" , "workshop; presentations of thesis work; Prerequisite: permission of the department" ,
 "INDU" , "6131" , "Graph Theory with System Applications" , "Project: 2 hours per week" ,
 "PHYS" , "394" , "Experimental Atomic Physics" , "Laboratory" ,
 "PSYC" , "851" , "Teaching of Laboratory Techniques" , "Practicum" ,
 "THEO" , "691" , "Research Paper" , "Guided research project" ,
 "COMS" , "324" , "Communication Analysis of Environment" , "Workshops, Montreal locations site analyse" ,
 "BIOL" , "459" , "Aquatic Ecology" , "Field trip, laboratory" ,
 "TESL" , "467" , "Internship: Secondary I" , "Minimum 140 hours observing and teaching in a secondary school supervised by a co-operating teacher and a university professor" ,
 "JOUR" , "537" , "Visual Journalism Portfolio" , "Capstone workshop" ,
 "CATA" , "441" , "Concepts in Manual Therapy" , "Laboratory" ,
 "CHEM" , "324" , "Organic Chemistry III: Organic Reactions" , "Laboratory" ,
 "TESL" , "341" , "Language acquisition" , "Case studies. Hands-on workshops." ,
 "FINA" , "411" , "Portfolio Management" , "Trading simulator (portfolio management simulator); Case study group report and presentation" ,
 "MBA" , "643" , "Managerial Analytics" , "Practical usages, projects & case analysis" ,
 "MANA" , "447" , "Leadership & Motivation" , "Cases, simulations" ,
 "JOUR" , "206" , "Introduction to Reporting" , "Workshop course" ,
 "MARK" , "301" , "Marketing Management II" , "Application-oriented, cases" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Industrial experience work term" ,
 "MECH" , "6511" , "Mechanical Forming of Metals" , "A project on current research topics and selected applications is required" ,
 "URBS" , "484" , "Directed Studies / Practicum in Urban Planning II" , "120 hours with a private or public institution, or community interest group" ,
 "MECH" , "6551" , "Fracture" , "A project on current research topics and selected applications is required" ,
 "PHYS" , "291" , "Experimental Mechanics I" , "Experiments, practical laboratory course" ,
 "ELEC" , "435" , "Electromechanical Energy Conversion Systems" , "Laboratory: 15 hours total" ,
 "GIIM" , "637" , "Strategic Management" , "Case studies" ,
 "COEN" , "7741" , "Advanced Computer Architecture" , "A project is required" ,
 "COMM" , "HRMA" , "COMM HRMA" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "MATH" , "387" , "Mathematics Lab III" , "Lab" ,
 "COMP" , "474" , "Intelligent Systems" , "Laboratory: 24 hours total, project" ,
 "CATA" , "437" , "Assessment of the Hip, Spine and Pelvis" , "Laboratory" ,
 "INSE" , "6100" , "Advanced Java Platforms" , "A project is required" ,
 "ELEC" , "6141" , "Wireless Communications" , "A project is required" ,
 "URBS" , "300" , "Neighbourhood and Community Planning" , "Community" ,
 "EXCI" , "455" , "Physical Activity, Health and Aging" , "Laboratory" ,
 "AHSC" , "675" , "Introduction to Open Systems Theory" , "Course-integrated projects; Simulations" ,
 "CIVI" , "390" , "Civil Engineering Design Project" , "Team project, Laboratory: 2 hours per week, alternate weeks" ,
 "ENGR" , "201" , "Professional Practice and Responsibility" , "Case Studies" ,
 "GEOG" , "491" , "Honours Essay" , "Essay" ,
 "SOCI" , "415" , "Field Research" , "Field, practice" ,
 "PSYC" , "709" , "APC Practicum II: Adult" , "Assessment and treatment of selected adult clients of the Applied Psychology Centre under faculty supervision" ,
 "LBCL" , "496" , "Liberal Arts College Honours Essay Seminar" , "honours seminar, research, written work of 40 pages" ,
 "INDU" , "6411" , "Human Factors Engineering" , "A project on a current topic is required" ,
 "MECH" , "6771" , "Driverless Ground Vehicles" , " A project on selected topics is required" ,
 "MARK" , "485" , "Business to Business Marketing" , "The whole spectrum is covered." ,
 "PSYC" , "708" , "APC Practicum II: General" , "Assessment and treatment of selected clients of the Applied Psychology Centre under faculty supervision" ,
 "BLDG" , "7841" , "Information Technology Applications in Construction" , "A project is required" ,
 "TESL" , "488" , "Internship Seminar" , "Develop self-regulated learning of that of a professional in education. Develop the ability to make links between the knowledge acquired during the BEd & practice in the field." ,
 "ELEC" , "6261" , "Optical Devices for High-Speed Communications" , "A project is required" ,
 "FTRA" , "424" , "Stage de formation : de l’anglais au français II" , "stage; activité professionnelle" ,
 "ENCS" , "485" , "Rwanda Field School in Engineering and Sustainable Development" , "Intensive course with three classroom sessions in Montreal, followed by a 3-week trip to Rwanda. Based on contemporary scholarship around development initiatives that focus on technological intervention. Site visits in rural and urban settings. conversations with Rwandan stakeholders, and interactions with students and professors at University of Rwanda campuses in Kigali and Huye." ,
 "MECH" , "473" , "Control System Design" , "Lab project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated" ,
 "AHSC" , "432" , "Seminar in Therapeutic Recreation" , "Students use their knowledge of TR and the various skills and interests of the class to design a community project for the benefit of the community" ,
 "INDU" , "6311" , "Discrete System Simulation" , "Computer simulation, A project is required" ,
 "MBA" , "657" , "International Case Competition – Executive Assistant" , "Competition" ,
 "BLDG" , "6661" , "Hygrothermal Performance of the Building Envelope" , "A project is required" ,
 "ELEC" , "6871" , "Fiber-Optic Communication Systems and Networks" , "A project is required" ,
 "COEN" , "6711" , "Microprocessors and Their Applications" , "A project is required" ,
 "INSE" , "6610" , "Cybercrime Investigations" , "A project is required" ,
 "PSYC" , "827" , "APC Practicum IV: Adult" , "Specialised practicum for advanced students involving clinical experience with adult clients under supervision" ,
 "CIVI" , "6061" , "Structural Health Monitoring" , "Field application, A project is required" ,
 "FTRA" , "519" , "Stage de formation du français à l’anglais II (A)" , "stage de formation" ,
 "AERO" , "480" , "Flight Control Systems" , "Laboratory: 2 hours per week, alternate weeks" ,
 "CHEM" , "477" , "Advanced Laboratory in Biochemistry" , "Laboratory" ,
 "CATA" , "475" , "Athletic Therapy Clinical Internship I" , "Minimum 400-hour supervised work opportunity" ,
 "EXCI" , "483" , "Clinical Exercise Physiology Internship II" , "120 hours" ,
 "CIVI" , "6441" , "Traffic Engineering" , "A project is required" ,
 "EDUC" , "361" , "Inclusive Practices in Early Childhood Settings" , "Group Project: Analysis of case studies to identify short- and long-term objectives, intervention strategies and activities for children with exceptionalities in early childhood settings" ,
 "CIVI" , "465" , "Water Pollution and Control" , "Laboratory: 2 hours per week, alternate weeks" ,
 "INSE" , "6180" , "Security and Privacy Implications of Data Mining" , "A project is required" ,
 "AHSC" , "470" , "Basic Human Relations Laboratory" , "Laboratory" ,
 "ADIP" , "593" , "Practicum I" , "Apply knowledge to classroom teaching experience" ,
 "INSE" , "6230" , "Total Quality Project Management" , "A project is required" ,
 "AHSC" , "443" , "Community Development I" , "Community" ,
 "EXCI" , "258" , "Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise" , "Laboratory" ,
 "ENGL" , "415" , "Literary Production: Curating and Archiving the Literary Event" , "Students aid in the development and maintenance of a related blog and an archive of current and previous reading series" ,
 "MECH" , "463" , "Fluid Power Control" , "Laboratory: 2 hours per week, alternate weeks" ,
 "INSE" , "6650" , "Trusted Computing" , "A project is required" ,
 "BIOL" , "670" , "Scientific Communication" , "Workshops" ,
 "ETEC" , "796" , "Thesis" , "Thesis" ,
 "PSYC" , "711" , "Extramural Practicum I: General
" , "4-month extramural practicum done under qualified supervisors" ,
 "AHSC" , "533" , "Internship I in Youth Work" , "Entry-level internship designed to provide  a first field experience that promotes integration into a clinical or normative youth work setting. A major focus is on participatory observation. One day per week, for a total of 100 hours in settings such as schools, community organizations, hospitals, or rehabilitation centres. " ,
 "TESL" , "488" , "Internship Seminar" , "Integrate the knowledge acquired during the BEd & practice in the field" ,
 "COMP" , "376" , "Introduction to Game Development" , "Laboratory: 24 hours total, group project" ,
 "COMM" , "IBUS" , "COMM IBUS" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "FRAA" , "532" , "Écriture pour le Web" , "création" ,
 "HENV" , "695" , "Thesis" , "Thesis" ,
 "BIOL" , "515" , "Biotechnology and Genomics Laboratory" , "Hands-on course" ,
 "COMS" , "376" , "Communication Media: Sound II" , "Practicum course" ,
 "COMP" , "5461" , "Operating Systems" , "Laboratory: 24 hours total" ,
 "INSE" , "6530" , "3D Graphics and Computer Animation for Game Design" , "A project is required" ,
 "ELEC" , "372" , "Fundamentals of Control Systems" , "Laboratory: 15 hours total" ,
 "SCPA" , "510" , "Projet en DÉC. Partie I" , "Projet pratique" ,
 "JOUR" , "321" , "Visual Journalism" , "Workshop course" ,
 "FLIT" , "454" , "Histoire du livre et de l’édition" , "métiers (du livre), rapports (entre éditeur et auteur)" ,
 "FLIT" , "498" , "Étude d’un sujet particulier" , "sujets particuliers" ,
 "MATH" , "ACT" , "Actuarial Mathematics Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "FTRA" , "631" , "Initiation à la traduction générale Co-listé : FTRA 531" , "outils de travail" ,
 "TESL" , "466" , "Internship: Primary I" , "Minimum 140 hours observing and teaching in a primary school supervised by a co-operating teacher and a university professor" ,
 "INDU" , "6321" , "Introduction to Six Sigma" , "A project is required" ,
 "MARK" , "486" , "Product Innovation and Stratgey" , "Case studies, simulations, application oriented" ,
 "MECH" , "6051" , "Process Dynamics and Control" , "A project on selected topics of current interest is required" ,
 "FRAA" , "598" , "Étude avancée d’un sujet particulier" , "étude avancée" ,
 "FTRA" , "632" , "Initiation à la traduction générale Co-listé : FTRA 532" , "outils de travail" ,
 "FLIT" , "693" , "Mémoire incluant une réalisation médiatique" , "mémoire, réalisation médiatique" ,
 "INSE" , "7100" , "Design and Analysis of Security Protocols" , "A project is required" ,
 "CIVI" , "453" , "Design of Reinforced Concrete Structures" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ELEC" , "463" , "Telecommunication Network" , "Laboratory: 15 hours total" ,
 "AERO" , "490" , "Capstone Aerospace Engineering Design Project" , "supervised design, simulation or experimental capstone design project" ,
 "CIVI" , "6331" , "Hydraulic Engineering" , "A case study & a project are required" ,
 "PSYC" , "706" , "Assessment Practicum I" , "Administer intellectual tests under supervision" ,
 "CHEM" , "692" , "Experimental Protein Chemistry" , "Hands-on course, Laboratory" ,
 "FTRA" , "556" , "Programmation en localisation" , "manipulation, programmation" ,
 "FTRA" , "633" , "Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533" , "aspects pratiques, supports informatisés" ,
 "COMP" , "5361" , "Discrete Structures and Formal Languages" , "Laboratory: 24 hours total" ,
 "MECH" , "6621" , "Microprocessors and Applications" , "A project on specific topic or applications is required" ,
 "ELEC" , "438" , "Industrial Electrical Systems" , "Laboratory: 15 hours total" ,
 "COMS" , "684" , "Media Research Laboratory" , "Laboratory" ,
 "ELEC" , "6281" , "Principles of Solid State Nanodevices" , "A project is required" ,
 "PSYC" , "387" , "Directed Research in Psychology" , "Research project" ,
 "MECH" , "321" , "Properties and Failure of Materials" , "Laboratory: 2 hours per week, alternate weeks" ,
 "EMBA" , "621" , "Information Technology & Analytics" , "Projects & case studies" ,
 "PSYC" , "842" , "Extramural Practicum III: Adult" , "Practicum" ,
 "MECH" , "412" , "Computer-Aided Mechanical Design" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ECON" , "MA" , "Economics MA Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "LOYC" , "398B" , "Orientation to International Community Engagement" , "Students develop and engage in an intervention in a community organization. Along with LOYC 490: Integrative project, this course provides the academic context to prepare students to go to Uganda with the CEED program (LOYC 398B) and to follow through with the learning when they come back (LOYC 420)" ,
 "COMS" , "586" , "Directed Study in Communication Studies II" , "Specialized study of theoretical or research-related topics" ,
 "AHSC" , "436" , "Internship in Youth and Family Work" , "Work with youth and families in such settings as child welfare, schools, non-profit organizations, residential care, or outreach" ,
 "SOEN" , "491" , "Software Engineering Project" , "project" ,
 "FRAN" , "211" , "French Language: Elementary" , "French for language learners. Laboratory sessions" ,
 "CIVI" , "6691" , "Greenhouse Gases and Control" , "A project is required" ,
 "ELEC" , "436" , "Protection of Power Systems" , "Laboratory: 15 hours total" ,
 "FTRA" , "520" , "Stage de formation (F)" , "stage de formation" ,
 "AERO" , "201" , "Introduction to Flight and Aerospace Systems" , "Laboratory: 4 hours per week, alternate weeks" ,
 "GEOL" , "331" , "Evolution of the Earth" , "Laboratory" ,
 "AHSC" , "527" , "Advanced Youth Work Intervention: Case Management and Supervision" , "Implementing & monitoring effective and collaborative case plans with young people & their families" ,
 "COEN" , "6611" , "Real-time Systems" , "A project is required" ,
 "CHEM" , "375" , "Biochemistry II" , "Laboratory" ,
 "JOUR" , "507" , "Basics of Digital Imaging" , "Workshop course" ,
 "MARK" , "462" , "Environment of World Business" , "Project directed to a selected part of the world" ,
 "POLI" , "487" , "Israel and the Middle East" , "Azrieli Institute's Summer in Israel" ,
 "COEN" , "6331" , "Neural Networks" , "A project is required" ,
 "CHEM" , "655" , "Master’s Research and Thesis" , "Research, thesis" ,
 "STAT" , "461" , "Statistical Simulation" , "Simulations" ,
 "APLI" , "691" , "Thesis" , "Thesis" ,
 "HIST" , "498" , "Critical Museology (also listed as HIST 670)" , "International Graduate Summer School (2017)" ,
 "EDUC" , "302" , "Working in Childhood Settings: Leadership and Organizational Issues" , "Course-integrated project: Drafting an advocacy letter to the Ministre de Famille et des Aines; preparing a handbook for parents and staff in an early childhood setting; role-playing to simulate professional development and leadership." ,
 "PHYS" , "790" , "Master’s Research and Thesis" , "Research, thesis" ,
 "COMS" , "896" , "Doctoral Thesis Research" , "Thesis" ,
 "MECH" , "6241" , "Operational Performance of Aircraft" , "Projects on selected topics are required" ,
 "AHSC" , "610" , "Group Process Intervention" , "Residential Laboratory; Course-integrated
projects" ,
 "JOUR" , "303" , "Feature Writing" , "Workshop course" ,
 "ANTH" , "692" , "Thesis" , "Thesis" ,
 "COMP" , "479" , "Information Retrieval and Web Search" , "Laboratory: 24 hours total, project" ,
 "COMP" , "371" , "Computer Graphics" , "Laboratory: 24 hours total, group project" ,
 "COMP" , "6421" , "Compiler Design" , "Laboratory: 24 hours total, project" ,
 "ETEC" , "671" , "Administering Educational Technology Groups" , "Real-world practice of educational technology, experiential learning activities" ,
 "BLDG" , "6111" , "Computer-Aided Building Operation" , "A project is required" ,
 "BLDG" , "6701" , "Building Environment" , "2 projects" ,
 "MANA" , "300" , "Entrepreneurship: Launching Your Business" , "Students formulate their own business plans" ,
 "SOEN" , "422" , "Embedded Systems and Software" , "Laboratory: 24 hours total, project" ,
 "COMP" , "628" , "Parallel Programming" , "Laboratory: 24 hours total, group project" ,
 "EDUC" , "460" , "Child Studies Field Experience: Child and Youth" , "Field placement one day per week, total of 60 hours in a daycare or preschool setting" ,
 "CHEM" , "235" , "Physical Chemistry II: Kinetics of Chemical Reactions" , "Laboratory" ,
 "MECH" , "6321" , "Optimum Design of Mechanical Systems" , "An optimization project on selected topics is required" ,
 "CHEM" , "614" , "Modern Aspects of Practical Mass Spectrometry" , "Independent mass spectrometry project" ,
 "COMP" , "6461" , "Computer Networks and Protocols" , "Laboratory: 24 hours total" ,
 "PHYS" , "390" , "Experimental Digital Electronics" , "Laboratory" ,
 "MECH" , "6171" , "Turbomachinery and Propulsion" , "Projects on selected topics are required" ,
 "AHSC" , "322" , "Fundamentals of Child‑ and Youth‑Care Work" , "Simulations" ,
 "PSYC" , "311" , "Research Methods and Designs II" , "Experiment, Laboratory" ,
 "BLDG" , "6761" , "Intelligent Buildings" , "A project is required" ,
 "SPAN" , "683" , "Research Paper II" , "Research" ,
 "HIST" , "380" , "History and Digital Media" , "Hands-on, pilot online history projects" ,
 "MPER" , "421" , "Chamber Ensemble III" , "Public performance" ,
 "MARK" , "451" , "Marketing of Services" , "Situation analyses, field studies" ,
 "MECH" , "368" , "Electronics for Mechanical Engineers" , "Laboratory: 2 hours per week, alternate weeks" ,
 "EXCI" , "323" , "Research Experience in Exercise Science" , "Hands-on research experience, Laboratory" ,
 "MARK" , "454" , "Personal Selling" , "Cases, simulations" ,
 "MBA" , "656" , "International Case Competition – Executive Assistant, Special" , "Competition" ,
 "PHYS" , "226" , "Introductory Experimental Waves and Modern Physics" , "Experiment, lab" ,
 "GEOL" , "210" , "Introduction to the Earth" , "Laboratory" ,
 "BLDG" , "390" , "Building Engineering Design Project" , "Laboratory: 2 hours per week, alternate weeks" ,
 "BIOL" , "452" , "Population Conservation Genetics" , "In class case study analyses" ,
 "BIOL" , "340" , "Plant Biology" , "Laboratory" ,
 "ELEC" , "311" , "Electronics I" , "Laboratory: 15 hours total
Laboratory pre-labs, extensive simulation exercises" ,
 "ENGR" , "392" , "Impact of Technology on Society" , "Course-integrated project; Games/Role Playing; Case Studies; Simulations" ,
 "COMP" , "345" , "Advanced Program Design with C++" , "Laboratory: 24 hours total, group project" ,
 "TESL" , "424" , "Methodology II" , "Conceptualize, create and assess pedagogical materials involving reading and writing (including lesson plans, activities, textbooks, virtual learning environments, websited, games, etc.)" ,
 "RELI" , "410" , "Honours Thesis" , "Sustained piece of written work" ,
 "ADED" , "497" , "Integrative Internship II" , "Special project in an adult education facility where supervision is provided by the host institution" ,
 "EDUC" , "362" , "Inclusive Proactices for School-Aged Populations" , "Group Project: Analysis of case studies to identify short- and long-term objectives, intervention strategies and activities for children with exceptionalities in childhood settings" ,
 "GEOG" , "466" , "Geomedia and the Geoweb" , "Laboratory" ,
 "INSE" , "6280" , "Quality Assurance for System Engineering" , "A project is required" ,
 "EDUC" , "463" , "Child Studies Seminar: Inclusive Practices in Childhood Settings" , "Improvisation and role-play of communication skills; Preparing intervention goals and plans; identifying remediation and rehabitation materials; modifying activities plans in accordance with inclusive practices; writing intervention reports; In-class case discussions" ,
 "MECH" , "490A" , "Capstone Mechanical Engineering Design Project (also listed as MECH 490B, MECH490C)" , "design, simulation or experimental capstone design project" ,
 "MECH" , "6761" , "Vehicular Internal Combustion Engines" , "Modelling, Simulation, Demonstration in lab" ,
 "MECH" , "6581" , "Mechanical Behaviour of Polymer Composite Materials" , "Projects on selected applications are required" ,
 "ENGL" , "895" , "Thesis Research" , "Research" ,
 "EDUC" , "462" , "Child Studies Field Experience: Inclusive Practices in Childhood Settings" , "Field placement one day per week, total of 60 hours in a childhood setting (e.g. daycare, elementary school, community setting, rehabilitation centre, or hospital setting), working with children with exceptionalities or special needs" ,
 "EXCI" , "492" , "Independent Study in Exercise Science" , "Research project" ,
 "FTRA" , "598" , "Étude avancée d’un sujet particulier" , "étude avancée" ,
 "FTRA" , "521" , "Stage de formation (A)" , "stage de formation" ,
 "COMS" , "670" , "Directed Study" , "Specialized study of theoretical or research-related topics" ,
 "COMS" , "385" , "Communication Media: Video II" , "Practicum course" ,
 "ELEC" , "6391" , "Microwave Engineering" , "A project is required" ,
 "CIVI" , "6641" , "Unit Operations in Environmental Engineering" , "A case study and a project are required" ,
 "MECH" , "6651" , "Structural Composite" , " A project on selected applications is required" ,
 "ELEC" , "7451" , "Power System Compensation" , "A project is required" ,
 "CHST" , "698" , "Thesis" , "Thesis" ,
 "ELEC" , "6621" , "Digital Waveform Compression" , "A project is required" ,
 "SOEN" , "423" , "Distributed Systems" , "Laboratory: 24 hours total, project" ,
 "PSYC" , "823" , "APC Practicum III: General" , "Practicum, clinical experience and supervision" ,
 "BIOL" , "498" , "Internship in Tropical Biology" , "Volunteering activities in the Tropics followed by in class discussions and presentations" ,
 "BLDG" , "7511" , "Integrated Building Design" , "A project is required" ,
 "ELEC" , "321" , "Introduction to Semiconductor Materials and Devices" , "Laboratory: 15 hours total" ,
 "HIST" , "889" , "Doctoral Seminar" , "Experience-based seminar for PhD students  in first and second year. Activities focus on professional practice for historians: preparing fellowship and grant applications; presenting conference papers; assessing journal submissions, etc. " ,
 "AHSC" , "444" , "The Older Adult and Leisure" , "Students form small working groups with older adults from local community organizations to design and facilitate a conversation café" ,
 "ACCO" , "435" , "Strategic Accounting Case Analysis" , "Strategic case" ,
 "TESL" , "331" , "Grammar for Teachers" , "Practical assignments: evaluate online grammar sources; prepare grammar lesson outlines and participate in teaching simulations. The work completed by students can be applied in their teachinh careers" ,
 "EDUC" , "385" , "Teaching a Second Language in Early Childhood and Elementary School" , "Development of appropriate classroom activities at the elementary level." ,
 "TESL" , "488" , "Internship Seminar" , "integrate the knowledge acquired during the BEd & practice in the field" ,
 "FTRA" , "499" , "Étude avancée d’un sujet particulier" , "sujets particuliers" ,
 "ACCO" , "355" , "Analysis of Financial Statements" , "Instruments & techniques are discussed & applied to case studies & actual companies" ,
 "COMP" , "6761" , "Advanced Computer Graphics" , "Laboratory: 24 hours total, project" ,
 "MPER" , "332" , "Choir II" , "Choir" ,
 "FTRA" , "613" , "Advanced translation in social sciences and the humanities Co-listé : FTRA 542 ou FTRA 543" , "séminaire pratique" ,
 "HENV" , "802" , "Experiential Learning" , "Minimum of 200 hours in a research laboratory based outside Concordia University" ,
 "ELEC" , "6151" , "Information Theory and Source Coding" , "A project is required" ,
 "ELEC" , "6661" , "Medical Image Processing" , "A project is required" ,
 "JOUR" , "528" , "The Digital Magazine" , "Course replicates the working conditions and journalistic experience of a digital newsroom" ,
